DrugDDI.d0.s0.e0	DrugDDI.d0.s0.e1	0
DrugDDI.d15.s0.e3	DrugDDI.d15.s0.e5	0
DrugDDI.d15.s0.e3	DrugDDI.d15.s0.e6	0
DrugDDI.d15.s0.e4	DrugDDI.d15.s0.e5	0
DrugDDI.d15.s0.e4	DrugDDI.d15.s0.e6	0
DrugDDI.d15.s0.e5	DrugDDI.d15.s0.e6	0
DrugDDI.d20.s0.e0	DrugDDI.d20.s0.e1	0
DrugDDI.d20.s0.e0	DrugDDI.d20.s0.e2	0
DrugDDI.d20.s0.e0	DrugDDI.d20.s0.e3	1
DrugDDI.d20.s0.e1	DrugDDI.d20.s0.e2	0
DrugDDI.d20.s0.e1	DrugDDI.d20.s0.e3	0
DrugDDI.d20.s0.e2	DrugDDI.d20.s0.e3	0
DrugDDI.d20.s1.e0	DrugDDI.d20.s1.e1	0
DrugDDI.d20.s2.e0	DrugDDI.d20.s2.e1	0
DrugDDI.d20.s2.e0	DrugDDI.d20.s2.e2	0
DrugDDI.d20.s2.e1	DrugDDI.d20.s2.e2	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e1	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e2	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e3	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e4	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e5	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e6	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e0	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e2	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e3	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e4	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e5	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e6	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e1	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e3	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e4	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e5	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e6	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e2	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e4	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e5	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e6	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e3	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e4	DrugDDI.d20.s3.e5	0
DrugDDI.d20.s3.e4	DrugDDI.d20.s3.e6	0
DrugDDI.d20.s3.e4	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e4	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e4	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e4	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e5	DrugDDI.d20.s3.e6	0
DrugDDI.d20.s3.e5	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e5	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e5	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e5	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e6	DrugDDI.d20.s3.e7	0
DrugDDI.d20.s3.e6	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e6	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e6	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e7	DrugDDI.d20.s3.e8	0
DrugDDI.d20.s3.e7	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e7	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e8	DrugDDI.d20.s3.e9	0
DrugDDI.d20.s3.e8	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s3.e9	DrugDDI.d20.s3.e10	0
DrugDDI.d20.s8.e0	DrugDDI.d20.s8.e1	0
DrugDDI.d20.s8.e0	DrugDDI.d20.s8.e2	0
DrugDDI.d20.s8.e0	DrugDDI.d20.s8.e3	0
DrugDDI.d20.s8.e0	DrugDDI.d20.s8.e4	0
DrugDDI.d20.s8.e1	DrugDDI.d20.s8.e2	0
DrugDDI.d20.s8.e1	DrugDDI.d20.s8.e3	0
DrugDDI.d20.s8.e1	DrugDDI.d20.s8.e4	0
DrugDDI.d20.s8.e2	DrugDDI.d20.s8.e3	0
DrugDDI.d20.s8.e2	DrugDDI.d20.s8.e4	0
DrugDDI.d20.s8.e3	DrugDDI.d20.s8.e4	0
DrugDDI.d20.s9.e0	DrugDDI.d20.s9.e1	0
DrugDDI.d20.s9.e0	DrugDDI.d20.s9.e2	0
DrugDDI.d20.s9.e0	DrugDDI.d20.s9.e3	0
DrugDDI.d20.s9.e0	DrugDDI.d20.s9.e4	1
DrugDDI.d20.s9.e0	DrugDDI.d20.s9.e5	1
DrugDDI.d20.s9.e0	DrugDDI.d20.s9.e6	0
DrugDDI.d20.s9.e1	DrugDDI.d20.s9.e2	0
DrugDDI.d20.s9.e1	DrugDDI.d20.s9.e3	0
DrugDDI.d20.s9.e1	DrugDDI.d20.s9.e4	0
DrugDDI.d20.s9.e1	DrugDDI.d20.s9.e5	0
DrugDDI.d20.s9.e1	DrugDDI.d20.s9.e6	0
DrugDDI.d20.s9.e2	DrugDDI.d20.s9.e3	0
DrugDDI.d20.s9.e2	DrugDDI.d20.s9.e4	0
DrugDDI.d20.s9.e2	DrugDDI.d20.s9.e5	0
DrugDDI.d20.s9.e2	DrugDDI.d20.s9.e6	0
DrugDDI.d20.s9.e3	DrugDDI.d20.s9.e4	0
DrugDDI.d20.s9.e3	DrugDDI.d20.s9.e5	0
DrugDDI.d20.s9.e3	DrugDDI.d20.s9.e6	0
DrugDDI.d20.s9.e4	DrugDDI.d20.s9.e5	0
DrugDDI.d20.s9.e4	DrugDDI.d20.s9.e6	0
DrugDDI.d20.s9.e5	DrugDDI.d20.s9.e6	0
DrugDDI.d20.s10.e0	DrugDDI.d20.s10.e1	0
DrugDDI.d20.s10.e0	DrugDDI.d20.s10.e2	0
DrugDDI.d20.s10.e1	DrugDDI.d20.s10.e2	0
DrugDDI.d20.s11.e0	DrugDDI.d20.s11.e1	0
DrugDDI.d20.s35.e0	DrugDDI.d20.s35.e1	0
DrugDDI.d20.s35.e0	DrugDDI.d20.s35.e2	0
DrugDDI.d20.s35.e1	DrugDDI.d20.s35.e2	1
DrugDDI.d20.s36.e0	DrugDDI.d20.s36.e1	1
DrugDDI.d20.s38.e0	DrugDDI.d20.s38.e1	0
DrugDDI.d20.s38.e0	DrugDDI.d20.s38.e2	0
DrugDDI.d20.s38.e0	DrugDDI.d20.s38.e3	0
DrugDDI.d20.s38.e1	DrugDDI.d20.s38.e2	0
DrugDDI.d20.s38.e1	DrugDDI.d20.s38.e3	0
DrugDDI.d20.s38.e2	DrugDDI.d20.s38.e3	0
DrugDDI.d20.s40.e0	DrugDDI.d20.s40.e1	1
DrugDDI.d20.s40.e0	DrugDDI.d20.s40.e2	0
DrugDDI.d20.s40.e0	DrugDDI.d20.s40.e3	0
DrugDDI.d20.s40.e1	DrugDDI.d20.s40.e2	0
DrugDDI.d20.s40.e1	DrugDDI.d20.s40.e3	0
DrugDDI.d20.s40.e2	DrugDDI.d20.s40.e3	0
DrugDDI.d20.s43.e0	DrugDDI.d20.s43.e1	1
DrugDDI.d20.s43.e0	DrugDDI.d20.s43.e2	0
DrugDDI.d20.s43.e1	DrugDDI.d20.s43.e2	0
DrugDDI.d20.s45.e0	DrugDDI.d20.s45.e1	0
DrugDDI.d20.s45.e0	DrugDDI.d20.s45.e2	0
DrugDDI.d20.s45.e1	DrugDDI.d20.s45.e2	1
DrugDDI.d20.s47.e0	DrugDDI.d20.s47.e1	0
DrugDDI.d20.s47.e0	DrugDDI.d20.s47.e2	0
DrugDDI.d20.s47.e1	DrugDDI.d20.s47.e2	0
DrugDDI.d20.s48.e0	DrugDDI.d20.s48.e1	0
DrugDDI.d25.s0.e0	DrugDDI.d25.s0.e1	0
DrugDDI.d25.s3.e0	DrugDDI.d25.s3.e1	1
DrugDDI.d28.s2.e0	DrugDDI.d28.s2.e1	0
DrugDDI.d28.s3.e0	DrugDDI.d28.s3.e1	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e1	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e2	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e3	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e4	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e5	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e6	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e0	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e2	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e3	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e4	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e5	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e6	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e1	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e3	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e4	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e5	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e6	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e2	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e4	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e5	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e6	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e3	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e5	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e6	1
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e4	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e6	1
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e5	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e7	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e6	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e8	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e7	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e9	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e10	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e8	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e10	1
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e9	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e11	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e10	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e12	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e14	1
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e11	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e13	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e14	1
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e12	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e14	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e13	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e14	DrugDDI.d38.s0.e15	0
DrugDDI.d38.s0.e14	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e14	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e14	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e14	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e14	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e15	DrugDDI.d38.s0.e16	0
DrugDDI.d38.s0.e15	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e15	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e15	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e15	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e16	DrugDDI.d38.s0.e17	0
DrugDDI.d38.s0.e16	DrugDDI.d38.s0.e18	1
DrugDDI.d38.s0.e16	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e16	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e17	DrugDDI.d38.s0.e18	0
DrugDDI.d38.s0.e17	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e17	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e18	DrugDDI.d38.s0.e19	0
DrugDDI.d38.s0.e18	DrugDDI.d38.s0.e20	0
DrugDDI.d38.s0.e19	DrugDDI.d38.s0.e20	0
DrugDDI.d39.s0.e0	DrugDDI.d39.s0.e1	1
DrugDDI.d39.s0.e0	DrugDDI.d39.s0.e2	0
DrugDDI.d39.s0.e0	DrugDDI.d39.s0.e3	0
DrugDDI.d39.s0.e0	DrugDDI.d39.s0.e4	0
DrugDDI.d39.s0.e1	DrugDDI.d39.s0.e2	0
DrugDDI.d39.s0.e1	DrugDDI.d39.s0.e3	0
DrugDDI.d39.s0.e1	DrugDDI.d39.s0.e4	0
DrugDDI.d39.s0.e2	DrugDDI.d39.s0.e3	0
DrugDDI.d39.s0.e2	DrugDDI.d39.s0.e4	0
DrugDDI.d39.s0.e3	DrugDDI.d39.s0.e4	0
DrugDDI.d39.s1.e0	DrugDDI.d39.s1.e1	0
DrugDDI.d39.s2.e0	DrugDDI.d39.s2.e1	1
DrugDDI.d40.s0.e0	DrugDDI.d40.s0.e1	1
DrugDDI.d40.s2.e0	DrugDDI.d40.s2.e1	1
DrugDDI.d43.s0.e0	DrugDDI.d43.s0.e1	0
DrugDDI.d43.s1.e0	DrugDDI.d43.s1.e1	0
DrugDDI.d43.s1.e0	DrugDDI.d43.s1.e2	0
DrugDDI.d43.s1.e1	DrugDDI.d43.s1.e2	0
DrugDDI.d43.s2.e0	DrugDDI.d43.s2.e1	0
DrugDDI.d43.s3.e0	DrugDDI.d43.s3.e1	0
DrugDDI.d43.s3.e0	DrugDDI.d43.s3.e2	0
DrugDDI.d43.s3.e0	DrugDDI.d43.s3.e3	1
DrugDDI.d43.s3.e1	DrugDDI.d43.s3.e2	0
DrugDDI.d43.s3.e1	DrugDDI.d43.s3.e3	1
DrugDDI.d43.s3.e2	DrugDDI.d43.s3.e3	1
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e1	1
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e2	1
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e3	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e4	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e5	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e6	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e7	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e8	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e9	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e10	0
DrugDDI.d43.s5.e0	DrugDDI.d43.s5.e11	0
