"annot","exactText","modality","statementType","drug1Lab","drug1Type","drug1Role","drug2Lab","drug2Type","drug2Role"
"urn:domeoclient:uuid:cf2941e0-bf6d-4d70-bf6e-1fe5565518f0","Methotrexate and 7-hydromethotrexate: In an open-label, single-arm, eight-day, pharmacokinetic study of 28 adult rheumatoid arthritis patients (who required the chronic use of 7.5 to 15 mg of methotrexate given weekly), administration of 7 days of naproxen 500 mg twice daily and lansoprazole delayed-release capsules 30 mg daily had no effect on the pharmacokinetics of methotrexate and 7-hydroxymethotrexate. ","ncit:negative","ncit:quantitative","Methotrexate","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","naproxen","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:ceed343b-2c34-466f-99c6-e735ef447e30","Coadministration of atomoxetine hydrochloride with potent inhibitors of CYP2D6, such as fluoxetine, paroxetine, or quinidine, results in a substantial increase in atomoxetine plasma exposure, and dosing adjustment may be necessary [see Warnings and Precautions (5.13)]. ","ncit:positive","ncit:Qualitative","fluoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","atomoxetine hydrochloride","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:cb8009db-5bb5-40d9-bfbf-ee2f42c40079","Sirolimus (CYP3A4 substrate): Repeat dose administration of oral voriconazole (400 mg Q12h for 1 day, then 200 mg Q12h for 8 days) increased the Cmax and AUC of sirolimus (2 mg single dose) an average of 7-fold (90% CI: 5.7, 7.5) and 11-fold (90% CI: 9.9, 12.6), respectively, in healthy male subjects. ","ncit:positive","ncit:quantitative","sirolimus","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","voriconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:c50024d9-f0b8-4c4b-b448-e1a502b6617c","Compounds that are potent inhibitors of CYP3A would be expected to increase plasma alprazolam concentrations. Drug products that have been studied in vivo, along with their effect on increasing alprazolam AUC, are as follows: ketoconazole, 3.98 fold; itraconazole, 2.70 fold; nefazodone, 1.98 fold; fluvoxamine, 1.96 fold; and erythromycin, 1.61 fold (see CONTRAINDICATIONS, WARNINGS, and PRECAUTIONS, Drug Interactions ).","ncit:positive","ncit:Qualitative","erythromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","alprazolam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:c2487b2d-d759-4d01-8887-4677b3b8778d","Effect Of Clonazepam On The Pharmacokinetics Of Other Drugs: Clonazepam does not appear to alter the pharmacokinetics of phenytoin, carbamazepine or phenobarbital. ","ncit:negative","ncit:quantitative","carbamazepine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","Clonazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:c239fd23-a51a-41f4-9cb0-4b1ffd6ce8f3","Coadministration of fluvoxamine approximately doubled the maximum plasma concentration of alprazolam, decreased clearance by 49%, increased half-life by 71%, and decreased measured psychomotor performance.","ncit:positive","ncit:quantitative","fluvoxamine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","alprazolam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:a9301ad6-1651-48af-b939-c0dcb6ca2e0e","Based on known metabolic profiles, clinically significant drug interactions are not expected between REYATAZ (atazanavir sulfate) and fluvastatin, pravastatin, dapsone, trimethoprim/sulfamethoxazole, azithromycin, or erythromycin. REYATAZ does not interact with substrates of CYP2D6 (eg, nortriptyline, desipramine, metoprolol). ","ncit:negative","ncit:quantitative","fluvastatin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","REYATAZ","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:a0ed82cb-a10f-4f91-a1d8-dd01311247e3","Compounds that are potent inhibitors of CYP3A would be expected to increase plasma alprazolam concentrations. Drug products that have been studied in vivo, along with their effect on increasing alprazolam AUC, are as follows: ketoconazole, 3.98 fold; itraconazole, 2.70 fold; nefazodone, 1.98 fold; fluvoxamine, 1.96 fold; and erythromycin, 1.61 fold (see CONTRAINDICATIONS, WARNINGS, and PRECAUTIONS, Drug Interactions ).","ncit:positive","ncit:Qualitative","itraconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","alprazolam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:a03a6a53-a4fd-4a65-ad94-a0c95c86d6ba"," In extensive metabolizers (EMs), inhibitors of CYP2D6 (e.g., paroxetine, fluoxetine, and quinidine) increase atomoxetine steady-state plasma concentrations to exposures similar to those observed in poor metabolizers (PMs). ","ncit:positive","ncit:Qualitative","quinidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","atomoxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:FE4929E2-95AF-4B8F-BE49-60494F3973D6","Coadministration of aliskiren did not significantly affect the pharmacokinetics of lovastatin, digoxin, valsartan, amlodipine, metformin, celecoxib, atenolol, atorvastatin, ramipril or hydrochlorothiazide.","ncit:negative","ncit:quantitative","aliskiren","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","digoxin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:FE1A477B-EB1A-420B-AD02-C547D6535DE1","There is a potentially relevant interaction between diazepam and compounds which inhibit certain hepatic enzymes (particularly cytochrome P450 3A and 2C19). Data indicate that these compounds influence the pharmacokinetics of diazepam and may lead to increased and prolonged sedation. At present, this reaction is known to occur with cimetidine, ketoconazole, fluvoxamine, fluoxetine, and omeprazole.","ncit:positive","ncit:Qualitative","cimetidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","diazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:FCB599A7-C7CF-4E31-AAD2-7226E2C20D8B","Concomitant use of propafenone and propranolol in healthy subjects increased propranolol plasma concentrations at steady state by 113%. In 4 patients, administration of metoprolol with propafenone increased the metoprolol plasma concentrations at steady state by 100-400%.","ncit:positive","ncit:quantitative","propranolol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","propafenone","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:FC60C874-AF84-492D-B58B-A4B2107FF14D","In three separate in vivo interaction studies, sertraline was co-administered with cytochrome P450 3A4 substrates, terfenadine, carbamazepine, or cisapride under steady-state conditions. The results of these studies indicated that sertraline did not increase plasma concentrations of terfenadine, carbamazepine, or cisapride. These data indicate that sertraline’s extent of inhibition of P450 3A4 activity is not likely to be of clinical significance. Results of the interaction study with cisapride indicate that sertraline 200 mg (q.d.) induces the metabolism of cisapride (cisapride AUC and Cmax were reduced by about 35%).","ncit:negative","ncit:quantitative","carbamazepine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","sertraline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:FBB37EFD-B8C7-4284-B91F-CEB1D2704EFA","Coadministration of lovastatin, atenolol, warfarin, furosemide, digoxin, celecoxib, hydrochlorothiazide, ramipril, valsartan, metformin and amlodipine did not result in clinically significant increases in aliskiren exposure.","ncit:negative","ncit:quantitative","aliskiren","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","furosemide","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:FB923729-1203-488D-9A56-696B720C1DD3","Experimental evidence demonstrated that methadone decreased the AUC and peak levels for didanosine and stavudine, with a more significant decrease for didanosine. Methadone disposition was not substantially altered.","ncit:negative","ncit:quantitative","methadone","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","stavudine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:FB77F85C-78C3-42B3-BBE8-77FA8FC73110","Cimetidine increased the Cmax and AUC of tacrine by approximately 54% and 64%, respectively.","ncit:positive","ncit:quantitative","cimetidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","tacrine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:FB06B874-B4FF-4D62-8B98-AF71219A34FD","In a study of healthy volunteers, sildenafil (100 mg) did not affect the steady-state pharmacokinetics of the HIV protease inhibitors saquinavir and ritonavir, both of which are CYP3A substrates.","ncit:negative","ncit:Qualitative","sildenafil","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","saquinavir","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:FAE98F89-D4F8-4983-B42C-00D341030245","coadministration of fexofenadine hydrochloride with either ketoconazole or erythromycin led to increased plasma concentrations of fexofenadine in healthy adult subjects.","ncit:positive","ncit:Qualitative","ketoconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","fexofenadine hydrochloride","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:FAD38374-2DA6-4E0F-9DAB-8670150EA858","Pharmacokinetic interactions between nisoldipine and beta-blockers (atenolol, propranolol) were variable and not significant.","ncit:negative","ncit:Qualitative","nisoldipine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","propranolol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:F8F82CE1-990E-43E5-ABC7-D01C3B482DE1","Coadministration of lovastatin, atenolol, warfarin, furosemide, digoxin, celecoxib, hydrochlorothiazide, ramipril, valsartan, metformin and amlodipine did not result in clinically significant increases in aliskiren exposure.","ncit:negative","ncit:quantitative","hydrochlorothiazide","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","aliskiren","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:F89BAE36-DD75-45FA-82C6-01F61A2EF178","Propranolol and Other Beta-Blockers: Coadministration of fluvoxamine maleate 100 mg per day and propranolol 160 mg per day in normal volunteers resulted in a mean five-fold increase (range 2 to 17) in minimum propranolol plasma concentrations. In this study, there was a slight potentiation of the propranolol-induced reduction in heart rate and reduction in the exercise diastolic pressure.","ncit:positive","ncit:Qualitative","fluvoxamine maleate","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","propranolol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:F7B4BD0E-C259-47A4-91D5-44F985F3DD55","When multiple doses of LIPITOR and digoxin were coadministered, steady state plasma digoxin concentrations increased by approximately 20%.","ncit:positive","ncit:quantitative","LIPITOR","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:precipitant-drug-of-interaction","digoxin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:F6392081-33E7-4C2A-93A5-6D3807A06F87","An in vivo interaction study involving the coadministration under steady-state conditions of paroxetine and terfenadine, a substrate for CYP3A4, revealed no effect of paroxetine on terfenadine pharmacokinetics.","ncit:negative","ncit:quantitative","paroxetine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","terfenadine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:F4DEE747-44B2-415E-9E6F-F3F338479E38","The pharmacokinetics of theophylline were determined from a single intravenous dose of aminophylline (6 mg/kg) before and after the oral administration of fluconazole 200 mg daily for 14 days in 16 normal male volunteers. There were significant increases in theophylline AUC, Cmax, and half-life with a corresponding decrease in clearance. The mean ± SD theophylline AUC increased 21% ± 16% (range: -5 to 48%). The Cmax increased 13% ± 17% (range: -13 to 40%). Theophylline clearance decreased 16% ± 11 % (range: -32 to 5%). The half-life of theophylline increased from 6.6 ± 1.7 hours to 7.9 ± 1.5 hours.","ncit:positive","ncit:quantitative","aminophylline","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/metabolite","dikbD2R:object-drug-of-interaction","fluconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:F4216EDF-FCFF-4E53-A18F-D7FD2EF12605","Additionally, no clinically significant drug interactions were observed when REYATAZ was coadministered with methadone, fluconazole, acetaminophen, or atenolol. [See Clinical Pharmacology, Tables 16 and 17 (12.3).]","ncit:negative","ncit:quantitative","fluconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","REYATAZ","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/drug-product","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:F3EDD32E-0A29-4402-89FA-A89B8957004D","Phenytoin: Nifedipine is metabolized by CYP3A4. Coadministration of nifedipine 10 mg capsule and 60 mg nifedipine coat-core tablet with phenytoin, an inducer of CYP3A4, lowered the AUC and Cmax of nifedipine by approximately 70%. When using nifedipine with phenytoin, the clinical response to nifedipine should be monitored and its dose adjusted if necessary.","ncit:positive","ncit:quantitative","nifedipine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","phenytoin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:F357BBE2-9BF5-4267-9756-8DEB6A3C2098","Combination of Protease Inhibitors: Atorvastatin AUC was significantly increased with concomitant administration of LIPITOR 40 mg with ritonavir plus saquinavir (400 mg twice daily) or LIPITOR 20 mg with lopinavir plus ritonavir (400 mg + 100 mg twice daily) compared to that of LIPITOR alone [see Clinical Pharmacology (12.3)].","ncit:positive","ncit:Qualitative","Atorvastatin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","lopinavir","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:F2DC0496-DA9C-41B6-8A47-26244C1FD0ED","Fexofenadine had no effect on the pharmacokinetics of either erythromycin or ketoconazole.","ncit:negative","ncit:quantitative","fexofenadine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction","erythromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction"
"urn:domeoclient:uuid:EFFC3A3A-039D-4998-9815-95E98044379A","A published study showed that the co-administration with voriconazole, a CYP3A4 inhibitor, significantly increased the plasma concentrations of oxycodone","ncit:positive","ncit:Qualitative","oxycodone","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","voriconazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:EF598A75-7B5F-4B3A-B26D-FBBDC77D375B","The plasma levels of clarithromycin and 14-hydroxy-clarithromycin were increased by the concomitant administration of omeprazole. For clarithromycin, the mean Cmax was 10% greater, the mean Cmin was 27% greater, and the mean AUC0-8 was 15% greater when clarithromycin was administered with omeprazole than when clarithromycin was administered alone. ","ncit:positive","ncit:quantitative","clarithromycin","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","omeprazole","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:EF251D91-3A73-43BC-9A2B-D62E5A26B616","In healthy subjects with CYP2D6 extensive metabolizer phenotype, coadministration of quinidine 100 mg and immediate-release metoprolol 200 mg tripled the concentration of S-metoprolol and doubled the metoprolol elimination half-life.","ncit:positive","ncit:quantitative","metoprolol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","quinidine","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
"urn:domeoclient:uuid:EED1D7DF-CF12-4B75-88EB-142933594019","Diazepam does not alter the pharmacokinetics of propranolol","ncit:negative","ncit:quantitative","propranolol","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:object-drug-of-interaction","diazepam","http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/active-ingredient","dikbD2R:precipitant-drug-of-interaction"
