z,Precipitant Type,Precipitant,Precipitant Annotator,Precipitant Span Start,Precipitant SpanEnd,Object Type,Object,Object Annotator,Metabolite,Object Span Start,Object Span End,Modality,Interaction Phrase Type,Interaction Phrase,Interaction Phrase Annotator,Interaction Phrase Span Start,Interaction Phrase Span End
package-insert-section-106.txt,Active ingredient,quinidine ,consensus set annotator team,629,638,Active ingredient,metoprolol ,consensus set annotator team,,668,678,Positive,Quantitative,"In healthy subjects with CYP2D6 extensive metabolizer phenotype, coadministration of quinidine 100 mg and immediate-release metoprolol 200 mg tripled the concentration of S-metoprolol and doubled the metoprolol elimination half-life.",consensus set annotator team,686,776
package-insert-section-106.txt,Active ingredient,propafenone ,consensus set annotator team,844,855,Active ingredient,metoprolol ,consensus set annotator team,,893,903,Positive,Quantitative,"In four patients with cardiovascular disease, coadministration of propafenone 150 mg t.i.d.with immediate-release metoprolol 50 mg t.i.d.resulted in two- to five-fold increases in the steady-state concentration of metoprolol.",consensus set annotator team,917,1004
package-insert-section-108.txt,Active ingredient,quinidine ,consensus set annotator team,130,139,Active ingredient,nifedipine ,consensus set annotator team,,168,178,Positive,Quantitative,"Coadministration of multiple doses of quinidine sulfate, 200 mg t.i.d., and nifedipine, 20 mg t.i.d., increased Cmax and AUC of nifedipine in healthy volunteers by factors of 2.30 and 1.37, respectively.",consensus set annotator team,194,280
package-insert-section-108.txt,Active ingredient,nifedipine ,consensus set annotator team,476,486,Active ingredient,quinidine ,consensus set annotator team,,419,428,Negative,Qualitative,The exposure to quinidine was not importantly changed in the presence of nifedipine.,consensus set annotator team,407,456
package-insert-section-109.txt,Active ingredient,diltiazem ,consensus set annotator team,74,83,Active ingredient,nifedipine ,consensus set annotator team,,235,245,Positive,Quantitative,"Diltiazem:  Pretreatment of healthy volunteers with 30 mg or 90 mg t.i.d.diltiazem p.o.increased the AUC of nifedipine after a single dose of 20 mg nifedipine by factors of 2.2 and 3.1, respectively.",consensus set annotator team,220,281
package-insert-section-11.txt,Active ingredient,cimetidine ,consensus set annotator team,83,93,Active ingredient,sertraline ,consensus set annotator team,,161,171,Positive,Quantitative,"In a study assessing disposition of sertraline (100 mg) on the second of 8 days of cimetidine administration (800 mg daily), there were significant increases in sertraline mean AUC (50%), C max (24%) and half-life (26%) compared to the placebo group.",consensus set annotator team,148,217
package-insert-section-110.txt,Active ingredient,nifedipine ,consensus set annotator team,166,176,Active ingredient,irbesartan ,consensus set annotator team,,194,204,Negative,Qualitative,"However, in clinical studies, concomitant nifedipine had no effect on irbesartan pharmacokinetics.",consensus set annotator team,177,221
package-insert-section-111.txt,Active ingredient,nifedipine ,consensus set annotator team,202,212,Active ingredient,doxazosin ,consensus set annotator team,,255,264,Positive,Quantitative,"Coadministration of nifedipine resulted in a decrease in AUC and Cmax of doxazosin to 83% and 86% of the values in the absence of nifedipine, respectively.",consensus set annotator team,213,279
package-insert-section-111.txt,Active ingredient,doxazosin ,consensus set annotator team,357,366,Active ingredient,nifedipine ,consensus set annotator team,,384,394,Positive,Quantitative,"In the presence of doxazosin, AUC and Cmax of nifedipine were increased by factors of 1.13 and 1.23, respectively.",consensus set annotator team,368,437
package-insert-section-113.txt,Active ingredient,cimetidine ,consensus set annotator team,417,427,Active ingredient,nifedipine ,consensus set annotator team,,465,475,Positive,Quantitative,"In normotensive subjects receiving single doses of 10 mg or multiple doses of up to 20 mg nifedipine t.i.d.alone or together with cimetidine up to 1000 mg/day, the AUC values of nifedipine in the presence of cimetidine were between 1.52 and 2.01 times those in the absence of cimetidine.",consensus set annotator team,451,559
package-insert-section-113.txt,Active ingredient,cimetidine ,consensus set annotator team,624,634,Active ingredient,nifedipine ,consensus set annotator team,,594,604,Positive,Quantitative,The Cmax values of nifedipine in the presence of cimetidine were increased by factors ranging between 1.60 and 2.02.,consensus set annotator team,579,690
package-insert-section-114.txt,Active ingredient,quinupristin ,consensus set annotator team,198,210,Active ingredient,nifedipine ,consensus set annotator team,,228,238,Positive,Quantitative,"Concomitant administration of quinupristin/dalfopristin and nifedipine (repeated oral dose) in healthy volunteers increased AUC and Cmax for nifedipine by factors of 1.44 and 1.18, respectively, compared to nifedipine monotherapy.",consensus set annotator team,282,347
package-insert-section-114.txt,Active ingredient,dalfopristin ,consensus set annotator team,211,223,Active ingredient,nifedipine ,consensus set annotator team,,228,238,Positive,Quantitative,"Concomitant administration of quinupristin/dalfopristin and nifedipine (repeated oral dose) in healthy volunteers increased AUC and Cmax for nifedipine by factors of 1.44 and 1.18, respectively, compared to nifedipine monotherapy.",consensus set annotator team,282,347
package-insert-section-115.txt,Active ingredient,phenytoin ,consensus set annotator team,136,145,Active ingredient,nifedipine ,consensus set annotator team,,68,78,Positive,Quantitative,"Coadministration of nifedipine 10 mg capsule and 60 mg nifedipine coat-core tablet with phenytoin, an inducer of CYP3A4, lowered the AUC and Cmax of nifedipine by approximately 70%.",consensus set annotator team,169,228
package-insert-section-116.txt,Active ingredient,rosiglitazone ,consensus set annotator team,36,49,Active ingredient,nifedipine ,consensus set annotator team,,139,149,Negative,Qualitative,Rosiglitazone:  Coadministration of rosiglitazone (4 mg b.i.d.)was shown to have no clinically relevant effect on the pharmacokinetics of nifedipine.,consensus set annotator team,68,135
package-insert-section-118.txt,Drug product,Synercid ,consensus set annotator team,30,38,Active ingredient,nifedipine ,consensus set annotator team,,282,292,Positive,Quantitative,Concomitant administration of Synercid and nifedipine (repeated oral doses) and midazolam (intravenous bolus dose) in healthy volunteers led to elevated plasma concentrations of these drugs.,consensus set annotator team,195,276
package-insert-section-118.txt,Drug product,Synercid ,consensus set annotator team,30,38,Active ingredient,midazolam ,consensus set annotator team,,297,306,Positive,Quantitative,Concomitant administration of Synercid and nifedipine (repeated oral doses) and midazolam (intravenous bolus dose) in healthy volunteers led to elevated plasma concentrations of these drugs.,consensus set annotator team,195,276
package-insert-section-12.txt,Active ingredient,sertraline ,consensus set annotator team,123,133,Active ingredient,diazepam ,consensus set annotator team,,230,238,Positive,Quantitative,"In a study comparing the disposition of intravenously administered diazepam before and after 21 days of dosing with either sertraline (50 to 200 mg/day escalating dose) or placebo, there was a 32% decrease relative to baseline in diazepam clearance for the sertraline group compared to a 19% decrease relative to baseline for the placebo group (p < 0.03).",consensus set annotator team,193,248
package-insert-section-12.txt,Active ingredient,sertraline ,consensus set annotator team,419,429,Metabolite,desmethyldiazepam ,consensus set annotator team,diazepam ,394,411,Positive,Quantitative,There was a 23% increase in T max for desmethyldiazepam in the sertraline group compared to a 20% decrease in the placebo group (p < 0.03).,consensus set annotator team,368,389
package-insert-section-122.txt,Active ingredient,rifampin ,consensus set annotator team,170,178,Active ingredient,rosiglitazone ,consensus set annotator team,,204,217,Positive,Qualitative,"7 DRUG INTERACTIONS

7.1 CYP2C8 Inhibitors and Inducers

An inhibitor of CYP2C8 (e.g., gemfibrozil) may increase the AUC of rosiglitazone and an inducer of CYP2C8 (e.g., rifampin) may decrease the AUC of rosiglitazone.",consensus set annotator team,180,200
package-insert-section-122.txt,Active ingredient,gemfibrozil ,consensus set annotator team,87,98,Active ingredient,rosiglitazone ,consensus set annotator team,,124,137,Positive,Qualitative,"7 DRUG INTERACTIONS

7.1 CYP2C8 Inhibitors and Inducers

An inhibitor of CYP2C8 (e.g., gemfibrozil) may increase the AUC of rosiglitazone and an inducer of CYP2C8 (e.g., rifampin) may decrease the AUC of rosiglitazone.",consensus set annotator team,100,120
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,9050,9057,Active ingredient,nifedipine ,consensus set annotator team,,9152,9162,Negative,Qualitative,"AVANDIA (4 mg twice daily) was shown to have no clinically relevant effect on the pharmacokinetics of nifedipine and oral contraceptives (ethinyl estradiol and norethindrone), which are predominantly metabolized by CYP3A4.",consensus set annotator team,9077,9124
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,9050,9057,Active ingredient,nifedipine ,consensus set annotator team,,9152,9162,Negative,Qualitative,"AVANDIA (4 mg twice daily) was shown to have no clinically relevant effect on the pharmacokinetics of nifedipine and oral contraceptives (ethinyl estradiol and norethindrone), which are predominantly metabolized by CYP3A4.",consensus set annotator team,9095,9148
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,9050,9057,Active ingredient,norethindrone ,consensus set annotator team,,9210,9223,Negative,Qualitative,"AVANDIA (4 mg twice daily) was shown to have no clinically relevant effect on the pharmacokinetics of nifedipine and oral contraceptives (ethinyl estradiol and norethindrone), which are predominantly metabolized by CYP3A4.",consensus set annotator team,9077,9124
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,9050,9057,Active ingredient,ethinyl estradiol ,consensus set annotator team,,9188,9205,Negative,Qualitative,"AVANDIA (4 mg twice daily) was shown to have no clinically relevant effect on the pharmacokinetics of nifedipine and oral contraceptives (ethinyl estradiol and norethindrone), which are predominantly metabolized by CYP3A4.",consensus set annotator team,9095,9148
package-insert-section-123.txt,Active ingredient,gemfibrozil ,consensus set annotator team,9317,9328,Active ingredient,rosiglitazone ,consensus set annotator team,,9379,9392,Positive,Quantitative,"Gemfibrozil

Concomitant administration of gemfibrozil (600 mg twice daily), an inhibitor of CYP2C8, and rosiglitazone (4 mg once daily) for 7 days increased rosiglitazone AUC by 127%, compared to the administration of rosiglitazone (4 mg once daily) alone.",consensus set annotator team,9422,9457
package-insert-section-123.txt,Active ingredient,Rifampin ,consensus set annotator team,9731,9739,Active ingredient,rosiglitazone ,consensus set annotator team,,9833,9846,Positive,Quantitative,"Rifampin

Rifampin administration (600 mg once a day), an inducer of CYP2C8, for 6 days is reported to decrease rosiglitazone AUC by 66%, compared to the administration of rosiglitazone (8 mg) alone [see Drug Interactions (7.1)].4

Glyburide

AVANDIA (2 mg twice daily) taken concomitantly with glyburide (3.75 to 10 mg/day) for 7 days did not alter the mean steady-state 24-hour plasma glucose concentrations in diabetic patients stabilized on glyburide therapy.",consensus set annotator team,9824,9857
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,10201,10208,Active ingredient,glyburide ,consensus set annotator team,,10295,10304,Positive,Quantitative,Repeat doses of AVANDIA (8 mg once daily) for 8 days in healthy adult Caucasian subjects caused a decrease in glyburide AUC and Cmax of approximately 30%.,consensus set annotator team,10283,10338
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,10434,10441,Active ingredient,glyburide ,consensus set annotator team,,10362,10371,Positive,Qualitative,"Glimepiride

Single oral doses of glimepiride in 14 healthy adult subjects had no clinically significant effect on the steady-state pharmacokinetics of AVANDIA.",consensus set annotator team,10372,10403
package-insert-section-123.txt,Active ingredient,glimepiride ,consensus set annotator team,10478,10489,Drug product,AVANDIA ,consensus set annotator team,,10596,10603,Negative,Qualitative,"Glimepiride

Single oral doses of glimepiride in 14 healthy adult subjects had no clinically significant effect on the steady-state pharmacokinetics of AVANDIA.",consensus set annotator team,10519,10603
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,10706,10713,Active ingredient,glimepiride ,consensus set annotator team,,10645,10656,Negative,Quantitative,No clinically significant reductions in glimepiride AUC and Cmax were observed after repeat doses of AVANDIA (8 mg once daily) for 8 days in healthy adult subjects.,consensus set annotator team,10605,10683
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,10811,10818,Active ingredient,metformin ,consensus set annotator team,,10842,10851,Negative,Qualitative,"Metformin

Concurrent administration of AVANDIA (2 mg twice daily) and metformin (500 mg twice daily) in healthy volunteers for 4 days had no effect on the steady-state pharmacokinetics of either metformin or rosiglitazone.",consensus set annotator team,10906,10956
package-insert-section-123.txt,Active ingredient,metformin ,consensus set annotator team,10842,10851,Drug product,AVANDIA ,consensus set annotator team,,10811,10818,Negative,Qualitative,"Metformin

Concurrent administration of AVANDIA (2 mg twice daily) and metformin (500 mg twice daily) in healthy volunteers for 4 days had no effect on the steady-state pharmacokinetics of either metformin or rosiglitazone.",consensus set annotator team,10906,10956
package-insert-section-123.txt,Active ingredient,acarbose ,consensus set annotator team,11026,11034,Drug product,AVANDIA ,consensus set annotator team,,11178,11185,Negative,Qualitative,"Acarbose

Coadministration of acarbose (100 mg three times daily) for 7 days in healthy volunteers had no clinically relevant effect on the pharmacokinetics of a single oral dose of AVANDIA.",consensus set annotator team,11095,11152
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,11219,11226,Active ingredient,digoxin ,consensus set annotator team,,11308,11315,Negative,Qualitative,"Digoxin

Repeat oral dosing of AVANDIA (8 mg once daily) for 14 days did not alter the steady-state pharmacokinetics of digoxin (0.375 mg once daily) in healthy volunteers.",consensus set annotator team,11257,11304
package-insert-section-123.txt,Drug product,AVANDIA ,consensus set annotator team,11391,11398,Active ingredient,warfarin ,consensus set annotator team,,11473,11481,Negative,Qualitative,"Warfarin

Repeat dosing with AVANDIA had no clinically relevant effect on the steady-state pharmacokinetics of warfarin enantiomers.",consensus set annotator team,11399,11469
package-insert-section-123.txt,Active ingredient,ranitidine ,consensus set annotator team,11699,11709,Active ingredient,rosiglitazone ,consensus set annotator team,,11823,11836,Negative,Qualitative,"Ranitidine

Pretreatment with ranitidine (150 mg twice daily for 4 days) did not alter the pharmacokinetics of either single oral or intravenous doses of rosiglitazone in healthy volunteers.",consensus set annotator team,11742,11776
package-insert-section-124.txt,Active ingredient,propranolol ,consensus set annotator team,78,89,Active ingredient,propafenone ,consensus set annotator team,,11,22,Positive,Quantitative,The AUC of propafenone is increased by more than 200% by co-administration of propranolol.,consensus set annotator team,0,53
package-insert-section-125.txt,Active ingredient,quinidine ,consensus set annotator team,65,74,Active ingredient,propranolol ,consensus set annotator team,,18,29,Positive,Qualitative,"The metabolism of propranolol is reduced by co-administration of quinidine, leading to a two-three fold increased blood concentration and greater degrees of clinical beta-blockade.",consensus set annotator team,4,40
package-insert-section-126.txt,Active ingredient,propranolol ,consensus set annotator team,104,115,Active ingredient,nifedipine ,consensus set annotator team,,25,35,Positive,Quantitative,"The mean Cmax and AUC of nifedipine are increased by 64% and 79%, respectively, by co-administration of propranolol.",consensus set annotator team,9,64
package-insert-section-127.txt,Active ingredient,Propranolol ,consensus set annotator team,0,11,Active ingredient,verapamil ,consensus set annotator team,,52,61,Negative,Qualitative,Propranolol does not affect the pharmacokinetics of verapamil and norverapamil.,consensus set annotator team,12,48
package-insert-section-127.txt,Active ingredient,Propranolol ,consensus set annotator team,0,11,Metabolite,norverapamil ,consensus set annotator team,verapamil ,66,78,Negative,Qualitative,Propranolol does not affect the pharmacokinetics of verapamil and norverapamil.,consensus set annotator team,12,48
package-insert-section-127.txt,Active ingredient,Verapamil ,consensus set annotator team,80,89,Active ingredient,propranolol ,consensus set annotator team,,130,141,Negative,Qualitative,Verapamil does not affect the pharmacokinetics of propranolol.,consensus set annotator team,90,126
package-insert-section-128.txt,Active ingredient,Propranolol ,consensus set annotator team,0,11,Active ingredient,diazepam ,consensus set annotator team,,42,50,Positive,Qualitative,"Propranolol can inhibit the metabolism of diazepam, resulting in increased concentrations of diazepam and its metabolites.",consensus set annotator team,12,38
package-insert-section-128.txt,Active ingredient,Diazepam ,consensus set annotator team,123,131,Active ingredient,propranolol ,consensus set annotator team,,171,182,Negative,Qualitative,Diazepam does not alter the pharmacokinetics of propranolol.,consensus set annotator team,132,167
package-insert-section-129.txt,Active ingredient,cimetidine ,consensus set annotator team,38,48,Active ingredient,propranolol ,consensus set annotator team,,21,32,Positive,Quantitative,"Co-administration of propranolol with cimetidine, a non-specific CYP450 inhibitor, increased propranolol AUC and Cmax by 46% and 35%, respectively.",consensus set annotator team,83,132
package-insert-section-129.txt,Active ingredient,aluminum hydroxide ,consensus set annotator team,171,189,Active ingredient,propranolol ,consensus set annotator team,,232,243,Positive,Qualitative,Co-administration with aluminum hydroxide gel (1200 mg) may result in a decrease in propranolol concentrations.,consensus set annotator team,220,258
package-insert-section-13.txt,Active ingredient,sertraline ,consensus set annotator team,87,97,Active ingredient,lithium ,consensus set annotator team,,139,146,Negative,Qualitative,"In a placebo-controlled trial in normal volunteers, the administration of two doses of sertraline did not significantly alter steady-state lithium levels or the renal clearance of lithium.",consensus set annotator team,98,176
package-insert-section-130.txt,Active ingredient,metoclopramide ,consensus set annotator team,21,35,Active ingredient,propranolol ,consensus set annotator team,,57,68,Negative,Qualitative,Co-administration of metoclopramide with the long-acting propranolol did not have a significant effect on propranolols pharmacokinetics.,consensus set annotator team,69,136
package-insert-section-131.txt,Active ingredient,cholestyramine ,consensus set annotator team,21,35,Active ingredient,propranolol ,consensus set annotator team,,55,66,Positive,Quantitative,Co-administration of cholestyramine or colestipol with propranolol resulted in up to 50% decrease in propranolol concentrations.,consensus set annotator team,85,127
package-insert-section-131.txt,Active ingredient,colestipol ,consensus set annotator team,39,49,Active ingredient,propranolol ,consensus set annotator team,,55,66,Positive,Quantitative,Co-administration of cholestyramine or colestipol with propranolol resulted in up to 50% decrease in propranolol concentrations.,consensus set annotator team,85,127
package-insert-section-132.txt,Active ingredient,propranolol ,consensus set annotator team,21,32,Active ingredient,lovastatin ,consensus set annotator team,,38,48,Positive,Quantitative,"Co-administration of propranolol with lovastatin or pravastatin, decreased 18% to 23% the AUC of both, but did not alter their pharmacodynamics.",consensus set annotator team,65,93
package-insert-section-132.txt,Active ingredient,propranolol ,consensus set annotator team,21,32,Active ingredient,pravastatin ,consensus set annotator team,,52,63,Positive,Quantitative,"Co-administration of propranolol with lovastatin or pravastatin, decreased 18% to 23% the AUC of both, but did not alter their pharmacodynamics.",consensus set annotator team,65,93
package-insert-section-132.txt,Active ingredient,Propranolol ,consensus set annotator team,145,156,Active ingredient,fluvastatin ,consensus set annotator team,,207,218,Negative,Qualitative,Propranolol did not have an effect on the pharmacokinetics of fluvastatin.,consensus set annotator team,161,203
package-insert-section-133.txt,Active ingredient,propranolol ,consensus set annotator team,33,44,Active ingredient,thioridazine ,consensus set annotator team,,112,124,Positive,Quantitative,Co-administration of long-acting propranolol at doses greater than or equal to 160 mg/day resulted in increased thioridazine plasma concentrations ranging from 55% to 369% and increased thioridazine metabolite (mesoridazine) concentrations ranging from 33% to 209%.,consensus set annotator team,102,171
package-insert-section-133.txt,Active ingredient,propranolol ,consensus set annotator team,33,44,Metabolite,mesoridazine ,consensus set annotator team,thioridazine ,211,223,Positive,Quantitative,Co-administration of long-acting propranolol at doses greater than or equal to 160 mg/day resulted in increased thioridazine plasma concentrations ranging from 55% to 369% and increased thioridazine metabolite (mesoridazine) concentrations ranging from 33% to 209%.,consensus set annotator team,176,264
package-insert-section-134.txt,Active ingredient,chlorpromazine ,consensus set annotator team,21,35,Active ingredient,propranolol ,consensus set annotator team,,41,52,Positive,Quantitative,Co-administration of chlorpromazine with propranolol resulted in a 70% increase in propranolol plasma level.,consensus set annotator team,53,107
package-insert-section-136.txt,Active ingredient,ritonavir ,consensus set annotator team,194,203,Active ingredient,trazodone ,consensus set annotator team,,117,126,Positive,Qualitative,"In vitro drug metabolism studies reveal that trazodone is a substrate of the cytochrome P450 3A4 (CYP3A4) enzyme and trazodone metabolism can be inhibited by the CYP3A4 inhibitors ketoconazole, ritonavir, and indinavir.",consensus set annotator team,138,154
package-insert-section-136.txt,Active ingredient,indinavir ,consensus set annotator team,209,218,Active ingredient,trazodone ,consensus set annotator team,,117,126,Positive,Qualitative,"In vitro drug metabolism studies reveal that trazodone is a substrate of the cytochrome P450 3A4 (CYP3A4) enzyme and trazodone metabolism can be inhibited by the CYP3A4 inhibitors ketoconazole, ritonavir, and indinavir.",consensus set annotator team,138,154
package-insert-section-136.txt,Active ingredient,ritonavir ,consensus set annotator team,263,272,Active ingredient,trazodone ,consensus set annotator team,,347,356,Positive,Quantitative,"The effect of short-term administration of ritonavir (200 mg twice daily, 4 doses) on the pharmacokinetics of a single dose of trazodone (50 mg) has been studied in 10 healthy subjects.",consensus set annotator team,410,545
package-insert-section-137.txt,Active ingredient,carbamazepine ,consensus set annotator team,124,137,Active ingredient,trazodone ,consensus set annotator team,,171,180,Positive,Quantitative,"Following coadministration of carbamazepine 400 mg/day with trazodone 100 mg to 300 mg daily, carbamazepine reduced plasma concentrations of trazodone (as well as mCPP) by 76 and 60%, respectively, compared to pre-carbamazepine values.",consensus set annotator team,138,226
